trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-01-20,ABAN.BE.NSE,2026-01-20 09:34:59,SHORT,22.18,22.52,21.15,1.554,4.662,3.0,22.52,SL,2254,-776.97,30.23,-807.2,0.6159,False
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:34:59,SHORT,167.16,169.89,158.97,1.634,4.902,3.0,169.89,SL,299,-816.73,30.23,-846.96,0.8045,False
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:35:59,SHORT,167.0,169.64,159.09,1.58,4.739,3.0,169.64,SL,299,-788.82,30.2,-819.02,0.796,False
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:36:59,SHORT,167.5,170.05,159.85,1.523,4.57,3.0,170.05,SL,298,-760.36,30.18,-790.54,0.7998,False
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:37:59,SHORT,167.49,169.86,160.38,1.415,4.246,3.0,169.86,SL,298,-706.37,30.16,-736.53,0.8189,False
2026-01-20,BUILDPRO.BE.NSE,2026-01-20 09:37:59,SHORT,699.95,709.37,671.69,1.346,4.038,3.0,671.69,TARGET,71,2006.78,29.22,1977.57,0.648,True
2026-01-20,MAANALU.BE.NSE,2026-01-20 09:37:59,LONG,156.01,153.91,162.31,1.347,4.04,3.0,162.31,TARGET,320,2016.81,30.56,1986.25,0.7333,True
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:37:59,SHORT,175.0,177.68,166.97,1.529,4.587,3.0,166.97,TARGET,285,2287.62,29.24,2258.38,0.7258,True
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:39:59,SHORT,167.94,170.13,161.36,1.307,3.92,3.0,170.13,SL,297,-651.71,30.12,-681.83,0.6792,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:39:59,LONG,7.53,7.46,7.74,0.936,2.809,3.0,7.74,TARGET,6640,1404.4,30.42,1373.97,0.8443,True
2026-01-20,MAANALU.BE.NSE,2026-01-20 09:39:59,SHORT,159.5,161.76,152.71,1.419,4.256,3.0,161.76,SL,313,-708.31,30.17,-738.48,0.6651,False
2026-01-20,AXITA.BE.NSE,2026-01-20 09:40:59,LONG,9.67,9.63,9.78,0.381,1.144,3.0,9.78,TARGET,5170,571.94,30.17,541.77,0.6412,True
2026-01-20,BHAGYANGR.BE.NSE,2026-01-20 09:40:59,SHORT,167.95,170.09,161.53,1.274,3.821,3.0,170.09,SL,297,-635.39,30.12,-665.51,0.655,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:40:59,LONG,7.53,7.46,7.73,0.869,2.608,3.0,7.73,TARGET,6640,1304.08,30.39,1273.69,0.737,True
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:41:59,LONG,7.52,7.46,7.71,0.851,2.553,3.0,7.71,TARGET,6648,1276.5,30.38,1246.12,0.6728,True
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:41:59,SHORT,174.98,177.59,167.16,1.489,4.467,3.0,167.16,TARGET,285,2227.61,29.25,2198.35,0.6244,True
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:42:59,SHORT,7.66,7.73,7.44,0.972,2.915,3.0,7.73,SL,6527,-485.82,30.14,-515.96,0.6118,False
2026-01-20,MAANALU.BE.NSE,2026-01-20 09:42:59,LONG,156.55,153.91,164.47,1.686,5.057,3.0,164.47,TARGET,319,2525.56,30.72,2494.84,0.7721,True
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:43:59,LONG,7.51,7.42,7.77,1.134,3.403,3.0,7.77,TARGET,6657,1701.27,30.51,1670.77,0.8386,True
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:43:59,SHORT,17.06,17.68,15.21,3.606,10.819,3.0,17.68,SL,2930,-1802.58,30.53,-1833.11,0.7287,False
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:43:59,LONG,171.17,168.19,180.12,1.743,5.23,3.0,168.19,SL,292,-871.42,29.73,-901.15,0.7892,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:44:59,SHORT,7.66,7.76,7.37,1.242,3.727,3.0,7.76,SL,6527,-621.2,30.18,-651.38,0.6656,False
2026-01-20,WAAREEINDO.BE.NSE,2026-01-20 09:44:59,LONG,422.25,418.11,434.67,0.98,2.941,3.0,418.11,SL,118,-488.38,29.75,-518.13,0.6237,False
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:45:59,LONG,171.16,168.0,180.64,1.846,5.537,3.0,168.0,SL,292,-922.44,29.71,-952.15,0.6381,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:46:59,LONG,7.52,7.42,7.81,1.288,3.863,3.0,7.81,TARGET,6648,1931.25,30.58,1900.67,0.703,True
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:46:59,LONG,16.7,16.17,18.29,3.173,9.52,3.0,18.29,TARGET,2994,4760.15,31.43,4728.72,0.6516,True
2026-01-20,MAANALU.BE.NSE,2026-01-20 09:46:59,LONG,156.01,153.09,164.78,1.874,5.621,3.0,164.78,TARGET,320,2806.35,30.8,2775.55,0.7866,True
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:47:59,LONG,16.62,16.12,18.12,3.013,9.038,3.0,18.12,TARGET,3008,4518.15,31.35,4486.8,0.7398,True
2026-01-20,MEGASOFT.BE.NSE,2026-01-20 09:47:59,LONG,177.01,176.36,178.97,0.369,1.107,3.0,176.36,SL,282,-184.21,29.89,-214.11,0.7924,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:48:59,LONG,7.47,7.36,7.8,1.477,4.432,3.0,7.8,TARGET,6693,2215.85,30.66,2185.18,0.8537,True
2026-01-20,MEGASOFT.BE.NSE,2026-01-20 09:48:59,LONG,177.15,176.23,179.9,0.518,1.553,3.0,176.23,SL,282,-258.68,29.9,-288.57,0.6713,False
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:48:59,LONG,171.6,168.39,181.22,1.868,5.603,3.0,168.39,SL,291,-932.7,29.68,-962.38,0.744,False
2026-01-20,GOYALALUM.BE.NSE,2026-01-20 09:49:59,SHORT,7.6,7.72,7.25,1.532,4.595,3.0,7.72,SL,6578,-765.7,30.23,-795.92,0.6772,False
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:49:59,LONG,16.62,16.15,18.03,2.83,8.489,3.0,18.03,TARGET,3008,4243.82,31.27,4212.55,0.6556,True
2026-01-20,GLOBAL.BE.NSE,2026-01-20 09:50:59,SHORT,78.1,78.55,76.74,0.582,1.745,3.0,76.74,TARGET,640,872.36,29.73,842.63,0.6461,True
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:50:59,SHORT,17.06,17.54,15.61,2.836,8.508,3.0,17.54,SL,2930,-1417.63,30.42,-1448.05,0.7476,False
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:51:59,LONG,16.63,16.1,18.22,3.191,9.574,3.0,18.22,TARGET,3006,4785.87,31.43,4754.44,0.7294,True
2026-01-20,HARDWYN.BE.NSE,2026-01-20 09:52:59,SHORT,17.35,17.92,15.64,3.285,9.855,3.0,17.92,SL,2881,-1641.99,30.48,-1672.47,0.9089,False
2026-01-20,MEGASOFT.BE.NSE,2026-01-20 09:53:59,LONG,177.0,175.97,180.1,0.584,1.753,3.0,175.97,SL,282,-291.72,29.86,-321.58,0.6728,False
2026-01-20,NACLIND.BE.NSE,2026-01-20 09:53:59,LONG,171.5,169.17,178.48,1.357,4.07,3.0,169.17,SL,291,-677.0,29.74,-706.74,0.6131,False
