trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:35:59,SHORT,17.2,17.51,16.26,1.817,5.451,3.0,17.51,SL,2906,-908.17,30.26,-938.44,0.6762,False
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:37:59,SHORT,17.0,17.34,15.99,1.971,5.913,3.0,17.34,SL,2941,-985.42,30.29,-1015.71,0.6221,False
2026-03-02,KAVDEFENCE.BE.NSE,2026-03-02 09:38:59,LONG,64.6,63.55,67.76,1.633,4.898,3.0,63.55,SL,773,-815.27,29.72,-844.99,0.6332,False
2026-03-02,GVPIL.BE.NSE,2026-03-02 09:42:59,LONG,462.05,455.7,481.1,1.375,4.124,3.0,455.7,SL,108,-685.9,29.74,-715.63,0.6083,False
2026-03-02,TVSSCS.BE.NSE,2026-03-02 09:43:59,SHORT,113.9,115.05,110.46,1.008,3.024,3.0,115.05,SL,438,-502.9,30.08,-532.99,0.6043,False
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 09:44:59,LONG,8.2,8.07,8.6,1.615,4.845,3.0,8.6,TARGET,6097,2422.25,30.72,2391.53,0.6154,True
2026-03-02,ZEEMEDIA.BE.NSE,2026-03-02 09:45:59,LONG,8.22,8.08,8.64,1.722,5.166,3.0,8.64,TARGET,6082,2582.56,30.77,2551.78,0.6508,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:47:59,LONG,16.77,16.53,17.48,1.416,4.249,3.0,17.48,TARGET,2981,2124.15,30.63,2093.52,0.6188,True
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:48:59,SHORT,17.18,17.44,16.4,1.505,4.516,3.0,17.44,SL,2910,-752.6,30.22,-782.83,0.6485,False
2026-03-02,HARDWYN.BE.NSE,2026-03-02 09:50:59,SHORT,17.2,17.5,16.31,1.724,5.171,3.0,17.5,SL,2906,-861.6,30.25,-891.85,0.6375,False
2026-03-02,DSFCL.BE.NSE,2026-03-02 09:53:59,SHORT,31.95,32.24,31.07,0.918,2.754,3.0,32.24,SL,1564,-458.79,30.12,-488.91,0.6146,False
2026-03-02,KESORAMIND.BE.NSE,2026-03-02 09:58:59,LONG,8.83,8.71,9.18,1.304,3.911,3.0,9.18,TARGET,5662,1955.52,30.58,1924.93,0.6859,True
