trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-18,TVSSCS.BE.NSE,2026-03-18 09:36:59,LONG,101.01,100.37,102.94,0.638,1.914,3.0,102.94,TARGET,495,956.98,30.29,926.69,0.6414,True
2026-03-18,KAVDEFENCE.BE.NSE,2026-03-18 09:37:59,LONG,57.0,56.08,59.76,1.612,4.836,3.0,56.08,SL,877,-805.87,29.75,-835.62,0.7898,False
2026-03-18,RELINFRA.BE.NSE,2026-03-18 09:37:59,SHORT,80.2,80.8,78.39,0.751,2.252,3.0,80.8,SL,623,-374.99,30.09,-405.08,0.7107,False
2026-03-18,AFIL.BE.NSE,2026-03-18 09:40:59,SHORT,8.48,8.6,8.12,1.429,4.287,3.0,8.6,SL,5896,-714.39,30.21,-744.61,0.6196,False
2026-03-18,KAVDEFENCE.BE.NSE,2026-03-18 09:40:59,LONG,57.5,56.63,60.11,1.513,4.54,3.0,60.11,TARGET,869,2268.29,30.66,2237.63,0.6026,True
2026-03-18,SADBHAV.BE.NSE,2026-03-18 09:48:59,LONG,8.22,8.11,8.54,1.313,3.94,3.0,8.54,TARGET,6082,1969.63,30.59,1939.04,0.5959,True
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:53:59,SHORT,54.0,54.33,53.02,0.603,1.808,3.0,54.33,SL,925,-301.1,30.06,-331.16,0.712,False
2026-03-18,MCL.BE.NSE,2026-03-18 09:54:59,SHORT,63.3,63.73,62.02,0.677,2.03,3.0,63.73,SL,789,-337.92,30.07,-367.99,0.6439,False
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:55:59,LONG,53.0,52.51,54.46,0.918,2.753,3.0,54.46,TARGET,943,1375.98,30.4,1345.58,0.5895,True
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:57:59,SHORT,53.78,54.34,52.1,1.04,3.119,3.0,52.1,TARGET,929,1558.2,29.51,1528.69,0.6345,True
2026-03-18,AFIL.BE.NSE,2026-03-18 09:58:59,SHORT,8.88,8.97,8.61,1.032,3.095,3.0,8.97,SL,5630,-515.79,30.15,-545.95,0.759,False
2026-03-18,AFIL.BE.NSE,2026-03-18 09:59:59,SHORT,8.85,8.94,8.59,0.995,2.985,3.0,8.94,SL,5649,-497.52,30.15,-527.66,0.6535,False
2026-03-18,MANAKALUCO.BE.NSE,2026-03-18 09:59:59,LONG,25.01,24.62,26.19,1.567,4.7,3.0,26.19,TARGET,1999,2349.63,30.7,2318.92,0.6379,True
2026-03-18,AXITA.BE.NSE,2026-03-18 10:00:59,LONG,8.73,8.66,8.94,0.799,2.398,3.0,8.94,TARGET,5727,1198.97,30.36,1168.61,0.6108,True
2026-03-18,MANAKALUCO.BE.NSE,2026-03-18 10:00:59,SHORT,25.57,26.0,24.28,1.677,5.031,3.0,26.0,SL,1955,-838.33,30.25,-868.58,0.5998,False
2026-03-18,MCL.BE.NSE,2026-03-18 10:00:59,LONG,62.2,61.77,63.49,0.689,2.066,3.0,63.49,TARGET,803,1032.07,30.28,1001.79,0.6848,True
2026-03-18,AFIL.BE.NSE,2026-03-18 10:01:59,SHORT,8.8,8.9,8.5,1.135,3.405,3.0,8.9,SL,5681,-567.35,30.17,-597.51,0.6246,False
2026-03-18,EMBDL.BE.NSE,2026-03-18 10:01:59,SHORT,54.0,54.7,51.9,1.295,3.884,3.0,54.7,SL,925,-646.65,30.16,-676.81,0.6278,False
2026-03-18,AFIL.BE.NSE,2026-03-18 10:02:59,LONG,8.62,8.51,8.95,1.285,3.854,3.0,8.95,TARGET,5800,1926.78,30.58,1896.2,0.6442,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:02:59,LONG,62.0,61.47,63.6,0.861,2.584,3.0,63.6,TARGET,806,1291.32,30.37,1260.95,0.6693,True
2026-03-18,AFIL.BE.NSE,2026-03-18 10:03:59,SHORT,8.8,8.92,8.44,1.373,4.119,3.0,8.92,SL,5681,-686.41,30.2,-716.61,0.7135,False
2026-03-18,SADBHAV.BE.NSE,2026-03-18 10:04:59,LONG,8.22,8.13,8.48,1.035,3.106,3.0,8.48,TARGET,6082,1552.78,30.46,1522.31,0.6112,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:05:59,SHORT,62.95,63.57,61.1,0.98,2.941,3.0,63.57,SL,794,-489.97,30.14,-520.1,0.6092,False
2026-03-18,MCL.BE.NSE,2026-03-18 10:06:59,LONG,61.51,60.79,63.66,1.166,3.497,3.0,63.66,TARGET,812,1746.64,30.49,1716.14,0.6381,True
2026-03-18,AAKASH.BE.NSE,2026-03-18 10:08:59,SHORT,8.34,8.36,8.28,0.255,0.765,3.0,8.36,SL,5995,-127.49,30.04,-157.53,0.616,False
