trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-18,AFIL.BE.NSE,2026-03-18 09:34:59,LONG,8.35,8.18,8.85,1.977,5.931,3.0,8.85,TARGET,5988,2965.71,30.89,2934.82,0.6281,True
2026-03-18,ZEEMEDIA.BE.NSE,2026-03-18 09:34:59,SHORT,7.33,7.4,7.11,0.979,2.937,3.0,7.4,SL,6821,-489.51,30.15,-519.66,0.63,False
2026-03-18,KAVDEFENCE.BE.NSE,2026-03-18 09:36:59,LONG,58.0,57.06,60.83,1.629,4.887,3.0,60.83,TARGET,862,2443.44,30.73,2412.71,0.6262,True
2026-03-18,ZEEMEDIA.BE.NSE,2026-03-18 09:36:59,SHORT,7.33,7.4,7.13,0.909,2.727,3.0,7.4,SL,6821,-454.55,30.14,-484.68,0.6415,False
2026-03-18,KAVDEFENCE.BE.NSE,2026-03-18 09:37:59,LONG,57.0,56.02,59.95,1.727,5.182,3.0,56.02,SL,877,-863.43,29.73,-893.16,0.7893,False
2026-03-18,RELINFRA.BE.NSE,2026-03-18 09:37:59,SHORT,80.2,80.84,78.27,0.804,2.412,3.0,80.84,SL,623,-401.77,30.1,-431.87,0.7347,False
2026-03-18,ZEEMEDIA.BE.NSE,2026-03-18 09:37:59,SHORT,7.33,7.39,7.14,0.844,2.533,3.0,7.39,SL,6821,-422.08,30.13,-452.21,0.6128,False
2026-03-18,KAVDEFENCE.BE.NSE,2026-03-18 09:38:59,SHORT,57.99,59.01,54.93,1.759,5.278,3.0,59.01,SL,862,-879.48,30.26,-909.73,0.6544,False
2026-03-18,RELINFRA.BE.NSE,2026-03-18 09:42:59,SHORT,80.9,81.58,78.86,0.84,2.52,3.0,81.58,SL,618,-420.0,30.12,-450.12,0.6037,False
2026-03-18,SADBHAV.BE.NSE,2026-03-18 09:48:59,LONG,8.22,8.1,8.57,1.407,4.221,3.0,8.57,TARGET,6082,2110.32,30.63,2079.69,0.605,True
2026-03-18,AFIL.BE.NSE,2026-03-18 09:51:59,LONG,8.5,8.41,8.78,1.092,3.275,3.0,8.78,TARGET,5882,1637.4,30.49,1606.91,0.6257,True
2026-03-18,BGRENERGY.BE.NSE,2026-03-18 09:52:59,LONG,303.1,301.45,308.05,0.545,1.634,3.0,301.45,SL,164,-270.76,29.74,-300.5,0.6363,False
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:53:59,SHORT,54.0,54.35,52.95,0.646,1.938,3.0,54.35,SL,925,-322.6,30.07,-352.67,0.7165,False
2026-03-18,AXITA.BE.NSE,2026-03-18 09:54:59,LONG,8.72,8.65,8.94,0.848,2.545,3.0,8.94,TARGET,5733,1272.24,30.38,1241.87,0.7365,True
2026-03-18,MCL.BE.NSE,2026-03-18 09:54:59,SHORT,63.3,63.76,61.92,0.725,2.175,3.0,63.76,SL,789,-362.06,30.07,-392.13,0.752,False
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:55:59,LONG,53.0,52.48,54.56,0.983,2.95,3.0,54.56,TARGET,943,1474.26,30.43,1443.83,0.6214,True
2026-03-18,EMBDL.BE.NSE,2026-03-18 09:57:59,SHORT,53.78,54.38,51.98,1.114,3.342,3.0,51.98,TARGET,929,1669.5,29.48,1640.02,0.7294,True
2026-03-18,AFIL.BE.NSE,2026-03-18 09:58:59,SHORT,8.88,8.98,8.59,1.105,3.316,3.0,8.98,SL,5630,-552.64,30.16,-582.8,0.8515,False
2026-03-18,AFIL.BE.NSE,2026-03-18 09:59:59,SHORT,8.85,8.94,8.57,1.066,3.199,3.0,8.94,SL,5649,-533.05,30.16,-563.21,0.7794,False
2026-03-18,GOYALALUM.BE.NSE,2026-03-18 09:59:59,LONG,6.15,6.09,6.33,0.976,2.929,3.0,6.33,TARGET,8130,1464.6,30.44,1434.16,0.6019,True
2026-03-18,MANAKALUCO.BE.NSE,2026-03-18 09:59:59,LONG,25.01,24.59,26.27,1.678,5.035,3.0,26.27,TARGET,1999,2517.46,30.75,2486.7,0.7238,True
2026-03-18,AXITA.BE.NSE,2026-03-18 10:00:59,LONG,8.73,8.66,8.95,0.856,2.569,3.0,8.95,TARGET,5727,1284.61,30.38,1254.22,0.6352,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:00:59,LONG,62.2,61.74,63.58,0.738,2.214,3.0,63.58,TARGET,803,1105.78,30.3,1075.48,0.6492,True
2026-03-18,AFIL.BE.NSE,2026-03-18 10:01:59,SHORT,8.8,8.91,8.48,1.216,3.648,3.0,8.91,SL,5681,-607.87,30.18,-638.05,0.6732,False
2026-03-18,EMBDL.BE.NSE,2026-03-18 10:01:59,SHORT,54.0,54.75,51.75,1.387,4.161,3.0,54.75,SL,925,-692.84,30.18,-723.02,0.6428,False
2026-03-18,AFIL.BE.NSE,2026-03-18 10:02:59,LONG,8.62,8.5,8.98,1.376,4.129,3.0,8.98,TARGET,5800,2064.4,30.62,2033.79,0.6759,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:02:59,LONG,62.0,61.43,63.72,0.923,2.769,3.0,63.72,TARGET,806,1383.56,30.4,1353.16,0.6897,True
2026-03-18,AFIL.BE.NSE,2026-03-18 10:03:59,SHORT,8.8,8.93,8.41,1.471,4.413,3.0,8.93,SL,5681,-735.43,30.22,-765.65,0.7499,False
2026-03-18,BGRENERGY.BE.NSE,2026-03-18 10:03:59,SHORT,305.9,307.96,299.71,0.675,2.025,3.0,299.71,TARGET,163,1009.45,29.61,979.84,0.6278,True
2026-03-18,AFIL.BE.NSE,2026-03-18 10:04:59,LONG,8.65,8.51,9.06,1.575,4.726,3.0,9.06,TARGET,5780,2363.09,30.71,2332.38,0.6386,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:04:59,LONG,61.51,60.96,63.15,0.887,2.662,3.0,63.15,TARGET,812,1329.74,30.37,1299.37,0.6632,True
2026-03-18,SADBHAV.BE.NSE,2026-03-18 10:04:59,LONG,8.22,8.13,8.49,1.109,3.328,3.0,8.49,TARGET,6082,1663.69,30.5,1633.19,0.6289,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:05:59,SHORT,62.95,63.61,60.97,1.05,3.151,3.0,63.61,SL,794,-524.97,30.15,-555.11,0.8244,False
2026-03-18,MCL.BE.NSE,2026-03-18 10:06:59,LONG,61.51,60.74,63.81,1.249,3.747,3.0,63.81,TARGET,812,1871.4,30.53,1840.87,0.7118,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:07:59,SHORT,62.99,63.86,60.37,1.384,4.153,3.0,63.86,SL,793,-691.43,30.18,-721.61,0.7748,False
2026-03-18,SADBHAV.BE.NSE,2026-03-18 10:07:59,LONG,8.22,8.14,8.47,1.03,3.09,3.0,8.47,TARGET,6082,1544.85,30.46,1514.39,0.6176,True
2026-03-18,AAKASH.BE.NSE,2026-03-18 10:08:59,SHORT,8.34,8.36,8.27,0.273,0.82,3.0,8.36,SL,5995,-136.59,30.04,-166.63,0.6524,False
2026-03-18,SADBHAV.BE.NSE,2026-03-18 10:08:59,LONG,8.22,8.13,8.5,1.126,3.378,3.0,8.5,TARGET,6082,1688.65,30.5,1658.14,0.7691,True
2026-03-18,MCL.BE.NSE,2026-03-18 10:09:59,SHORT,62.99,63.8,60.56,1.285,3.856,3.0,63.8,SL,793,-642.05,30.16,-672.21,0.6536,False
