trade_date,ticker,entry_time,direction,entry_price,sl,target,sl_pct,tp_pct,rr_ratio,exit_price,exit_reason,qty,gross_pnl,brokerage,net_pnl,confidence,win
2026-03-20,KAVDEFENCE.BE.NSE,2026-03-20 13:08:59,LONG,60.32,60.03,60.8,0.475,0.792,1.67,60.03,SL,1657,-475.07,59.83,-534.9,0.674,False
2026-03-20,MCL.BE.NSE,2026-03-20 13:08:59,SHORT,61.99,62.45,61.23,0.736,1.226,1.67,62.45,SL,1613,-735.6,60.21,-795.81,0.5869,False
2026-03-20,RELINFRA.BE.NSE,2026-03-20 13:08:59,SHORT,78.75,79.01,78.32,0.329,0.549,1.67,79.01,SL,1269,-329.09,60.06,-389.15,0.5993,False
2026-03-20,ZEEMEDIA.BE.NSE,2026-03-20 13:08:59,LONG,7.4,7.35,7.49,0.722,1.204,1.67,7.49,TARGET,13513,1203.56,60.36,1143.21,0.8666,True
2026-03-20,BESTAGRO.BE.NSE,2026-03-20 13:09:59,LONG,14.23,14.15,14.36,0.554,0.924,1.67,14.36,TARGET,7027,924.1,60.27,863.83,0.7086,True
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:09:59,LONG,48.64,47.96,49.77,1.389,2.315,1.67,49.77,TARGET,2055,2313.93,60.67,2253.27,0.7243,True
2026-03-20,MCL.BE.NSE,2026-03-20 13:09:59,LONG,60.84,60.29,61.75,0.899,1.498,1.67,61.75,TARGET,1643,1497.0,60.43,1436.58,0.8854,True
2026-03-20,SALSTEEL.BE.NSE,2026-03-20 13:09:59,SHORT,37.77,38.2,37.05,1.138,1.897,1.67,38.2,SL,2647,-1137.83,60.33,-1198.15,0.5606,False
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:10:59,LONG,48.64,48.01,49.69,1.29,2.15,1.67,49.69,TARGET,2055,2148.65,60.62,2088.03,0.6471,True
2026-03-20,GVPIL.BE.NSE,2026-03-20 13:10:59,LONG,432.0,429.52,436.13,0.574,0.957,1.67,429.52,SL,231,-572.99,59.7,-632.7,0.6044,False
2026-03-20,KAVDEFENCE.BE.NSE,2026-03-20 13:10:59,LONG,60.32,59.95,60.93,0.609,1.014,1.67,60.93,TARGET,1657,1013.69,60.27,953.42,0.7133,True
2026-03-20,AAKASH.BE.NSE,2026-03-20 13:11:59,LONG,8.91,8.86,9.0,0.581,0.968,1.67,8.86,SL,11223,-580.76,59.82,-640.58,0.8722,False
2026-03-20,EMBDL.BE.NSE,2026-03-20 13:11:59,LONG,48.61,48.02,49.59,1.205,2.008,1.67,48.02,SL,2057,-1204.88,59.63,-1264.52,0.7095,False
